Address of the authorisation holder,Date from which the product is authorised,Date until which the product is authorised,Description and characterisation of the product,Name of the authorisation holder,Name of the product,Unique code,Food category,Maximum level g/kg
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,9.2. Processed fish and fishery products including crustaceans and molluscs,2.0
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,9.3. Fish roe,2.0
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,"12.2. Herbs, spices, seasonings",3.0
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,12.5. Soups and broths,0.30
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,12.6. Sauces,1.0
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,"12.9. Protein products, excluding products covered in category 1.8",1.0
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,15. Ready-to-eat savouries and snacks,3.0
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,1. Dairy products and analogue,0.50
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,4.2. Processed fruits and vegetables,0.30
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,6.4.5. Fillings of stuffed pasta (ravioli and similar),1.0
